PuzzleId,PieceCount,Datalog_Success,Triples_Before,Triples_After,Datalog_Time_Sec,Reasoning_Time_Sec,Peak_RAM_MB,Avg_CPU_Percent,Status
0pzPL,3,TRUE,2421,3085,0.7,2.71,518.64,386.79,SUCCESS
1SqxY,3,TRUE,2425,3091,0.66,2.71,442.29,354.06,SUCCESS
1kk6I,3,TRUE,2428,3095,0.66,2.61,485.23,368.48,SUCCESS
3iHng,3,TRUE,2424,3089,0.64,2.61,419.6,381.26,SUCCESS
4FbuP,3,TRUE,2423,3090,0.64,2.71,467.04,368.62,SUCCESS
00Nih,4,TRUE,2435,3104,0.66,2.71,487.72,395.15,SUCCESS
00T85,4,TRUE,2504,3205,0.66,2.71,453.66,372.23,SUCCESS
00XCT,4,TRUE,2497,3186,0.66,2.61,458.75,379.44,SUCCESS
00hpL,4,TRUE,2437,3105,0.64,2.81,498.69,362.01,SUCCESS
00yOA,4,TRUE,2440,3119,0.66,2.91,505.44,394.76,SUCCESS
00V8g,5,TRUE,2455,3131,0.65,2.61,345.89,382.26,SUCCESS
00YhS,5,TRUE,2446,3123,0.65,2.61,333.64,387.47,SUCCESS
00gbj,5,TRUE,2465,3145,0.67,2.71,461.25,366.46,SUCCESS
00iQD,5,TRUE,2456,3142,0.66,2.91,410.59,370.47,SUCCESS
0112g,5,TRUE,2492,3186,0.64,2.71,380.34,385.44,SUCCESS
002Uy,6,TRUE,2491,3197,0.67,2.71,499.07,377.12,SUCCESS
00C7m,6,TRUE,2495,3184,0.66,2.91,379.56,386.32,SUCCESS
00GuG,6,TRUE,2489,3184,0.66,2.91,342.36,358.16,SUCCESS
00HqY,6,TRUE,2451,3150,0.66,2.71,493.0,369.14,SUCCESS
00KOz,6,TRUE,2512,3206,0.65,2.71,372.34,375.17,SUCCESS
000Vc,7,TRUE,2479,3185,0.65,2.81,382.61,386.54,SUCCESS
002Hv,7,TRUE,2473,3179,0.65,2.81,489.02,370.87,SUCCESS
005ws,7,TRUE,2479,3170,0.66,2.71,498.89,382.42,SUCCESS
005xu,7,TRUE,2541,3252,0.66,2.71,455.3,367.64,SUCCESS
006OI,7,TRUE,2500,3210,0.65,2.71,502.12,372.38,SUCCESS
000qP,8,TRUE,2559,3279,0.65,2.91,486.6,359.63,SUCCESS
000rO,8,TRUE,2541,3262,0.66,2.91,347.24,343.48,SUCCESS
002VP,8,TRUE,2548,3268,0.66,2.91,501.11,377.1,SUCCESS
00347,8,TRUE,2474,3185,0.66,2.71,350.97,381.2,SUCCESS
004Ax,8,TRUE,2519,3227,0.66,2.81,371.81,400.09,SUCCESS
002vV,9,TRUE,2524,3231,0.67,2.81,478.91,375.65,SUCCESS
0047P,9,TRUE,2528,3246,0.66,2.91,378.5,368.58,SUCCESS
00798,9,TRUE,2529,3230,0.66,2.91,482.92,374.7,SUCCESS
00FPo,9,TRUE,2526,3247,0.67,2.91,503.98,360.68,SUCCESS
00Gvp,9,TRUE,2557,3281,0.65,2.71,505.71,376.16,SUCCESS
001xl,10,TRUE,2580,3314,0.66,2.91,511.26,403.87,SUCCESS
003aS,10,TRUE,2546,3266,0.66,2.91,488.89,370.31,SUCCESS
004b0,10,TRUE,2547,3289,0.65,2.91,484.28,376.3,SUCCESS
007fJ,10,TRUE,2517,3255,0.67,2.81,470.25,384.57,SUCCESS
00B8m,10,TRUE,2536,3259,0.65,3.01,357.34,369.07,SUCCESS
0008Q,11,TRUE,2553,3284,0.67,3.01,425.95,359.81,SUCCESS
001cr,11,TRUE,2500,3227,0.67,2.81,500.27,380.71,SUCCESS
003IX,11,TRUE,2588,3322,0.65,3.01,364.68,369.29,SUCCESS
003jv,11,TRUE,2523,3251,0.66,2.91,373.97,370.99,SUCCESS
004mT,11,TRUE,2597,3347,0.66,3.01,374.84,371.89,SUCCESS
000o3,12,TRUE,2509,3236,0.67,2.91,484.96,363.88,SUCCESS
002xh,12,TRUE,2531,3249,0.65,2.91,489.11,390.07,SUCCESS
003UW,12,TRUE,2593,3327,0.65,3.11,355.45,355.67,SUCCESS
004sY,12,TRUE,2520,3239,0.66,2.91,518.39,361.81,SUCCESS
006yP,12,TRUE,2549,3294,0.65,2.91,372.94,389.71,SUCCESS
001m3,13,TRUE,2650,3394,0.66,3.11,478.23,348.62,SUCCESS
003if,13,TRUE,2644,3381,0.66,3.21,501.86,343.98,SUCCESS
00AOH,13,TRUE,2569,3317,0.66,2.91,485.32,367.42,SUCCESS
00AoZ,13,TRUE,2640,3398,0.68,3.11,489.56,370.8,SUCCESS
00AuR,13,TRUE,2572,3312,0.66,3.01,484.77,355.59,SUCCESS
000Pw,14,TRUE,2628,3387,0.66,3.11,495.78,342.83,SUCCESS
0018P,14,TRUE,2573,3319,0.67,2.91,474.19,363.55,SUCCESS
001aK,14,TRUE,2611,3392,0.67,3.01,512.79,373.87,SUCCESS
002GQ,14,TRUE,2564,3309,0.67,2.91,488.65,375.14,SUCCESS
