PuzzleId,PieceCount,Datalog_Success,Triples_Before,Triples_After,Datalog_Time_Sec,Reasoning_Time_Sec,Peak_RAM_MB,Avg_CPU_Percent,Status
0pzPL,3,TRUE,2421,3085,0.7,3.01,526.22,415.52,SUCCESS
1SqxY,3,TRUE,2425,3091,0.66,2.91,402.02,431.52,SUCCESS
1kk6I,3,TRUE,2428,3095,0.64,2.91,510.78,432.44,SUCCESS
3iHng,3,TRUE,2424,3089,0.66,2.91,551.5,428.79,SUCCESS
4FbuP,3,TRUE,2423,3090,0.65,3.01,407.66,421.87,SUCCESS
00Nih,4,TRUE,2435,3104,0.65,3.11,458.39,472.09,SUCCESS
00T85,4,TRUE,2504,3205,0.65,2.91,381.12,424.02,SUCCESS
00XCT,4,TRUE,2497,3186,0.65,2.91,456.11,479.62,SUCCESS
00hpL,4,TRUE,2437,3105,0.66,2.81,404.58,424.16,SUCCESS
00yOA,4,TRUE,2440,3119,0.66,3.41,569.64,409.76,SUCCESS
00V8g,5,TRUE,2455,3131,0.66,2.91,445.74,445.73,SUCCESS
00YhS,5,TRUE,2446,3123,0.65,3.21,582.98,430.17,SUCCESS
00gbj,5,TRUE,2465,3145,0.65,2.61,375.5,433.96,SUCCESS
00iQD,5,TRUE,2456,3142,0.65,2.91,400.72,438.11,SUCCESS
0112g,5,TRUE,2492,3186,0.66,3.51,529.14,409.15,SUCCESS
002Uy,6,TRUE,2491,3197,0.65,3.51,624.36,445.15,SUCCESS
00C7m,6,TRUE,2495,3184,0.65,3.01,567.31,461.79,SUCCESS
00GuG,6,TRUE,2489,3184,0.66,3.41,589.76,468.18,SUCCESS
00HqY,6,TRUE,2451,3150,0.66,3.41,576.41,424.96,SUCCESS
00KOz,6,TRUE,2512,3206,0.67,3.01,558.35,410.12,SUCCESS
000Vc,7,TRUE,2479,3186,0.67,2.81,507.02,424.37,SUCCESS
002Hv,7,TRUE,2473,3179,0.65,4.02,528.68,365.78,SUCCESS
005ws,7,TRUE,2479,3170,0.66,3.61,695.57,431.2,SUCCESS
005xu,7,TRUE,2541,3252,0.65,3.21,423.8,433.64,SUCCESS
006OI,7,TRUE,2500,3210,0.66,4.11,590.02,367.19,SUCCESS
000qP,8,TRUE,2559,3279,0.65,4.21,573.42,375.82,SUCCESS
000rO,8,TRUE,2541,3262,0.67,3.11,509.01,412.77,SUCCESS
002VP,8,TRUE,2548,3268,0.66,3.11,555.75,412.27,SUCCESS
00347,8,TRUE,2474,3185,0.66,3.62,538.97,389.42,SUCCESS
004Ax,8,TRUE,2519,3227,0.67,3.71,552.34,393.56,SUCCESS
002vV,9,TRUE,2524,3231,0.68,3.11,463.09,435.36,SUCCESS
0047P,9,TRUE,2528,3246,0.67,3.11,544.96,431.99,SUCCESS
00798,9,TRUE,2529,3230,0.66,4.22,590.58,385.43,SUCCESS
00FPo,9,TRUE,2526,3247,0.66,4.92,625.99,342.1,SUCCESS
00Gvp,9,TRUE,2557,3281,0.66,3.11,461.71,448.52,SUCCESS
001xl,10,TRUE,2580,3314,0.65,3.31,461.18,437.29,SUCCESS
003aS,10,TRUE,2546,3266,0.66,4.62,565.54,353.34,SUCCESS
004b0,10,TRUE,2547,3289,0.66,4.22,567.38,363.15,SUCCESS
007fJ,10,TRUE,2517,3255,0.65,5.22,603.72,344.62,SUCCESS
00B8m,10,TRUE,2536,3259,0.68,3.82,550.85,398.37,SUCCESS
0008Q,11,TRUE,2553,3284,0.65,3.21,506.86,425.84,SUCCESS
001cr,11,TRUE,2500,3227,0.67,4.22,690.41,375.87,SUCCESS
003IX,11,TRUE,2588,3322,0.67,3.21,557.16,434.82,SUCCESS
003jv,11,TRUE,2523,3251,0.66,4.22,585.55,366.67,SUCCESS
004mT,11,TRUE,2597,3347,0.67,4.52,611.0,370.4,SUCCESS
000o3,12,TRUE,2509,3236,0.65,4.22,593.9,368.04,SUCCESS
002xh,12,TRUE,2531,3249,0.66,3.01,515.5,428.57,SUCCESS
003UW,12,TRUE,2593,3327,0.66,4.52,593.24,385.16,SUCCESS
004sY,12,TRUE,2520,3239,0.67,4.12,559.39,356.37,SUCCESS
006yP,12,TRUE,2549,3294,0.66,3.11,564.23,426.35,SUCCESS
001m3,13,TRUE,2650,3394,0.66,4.32,614.79,346.12,SUCCESS
003if,13,TRUE,2644,3381,0.67,3.41,555.3,408.9,SUCCESS
00AOH,13,TRUE,2569,3317,0.66,3.41,548.17,411.06,SUCCESS
00AoZ,13,TRUE,2640,3398,0.68,6.12,675.15,299.47,SUCCESS
00AuR,13,TRUE,2572,3312,0.67,5.52,671.12,330.48,SUCCESS
000Pw,14,TRUE,2628,3387,0.67,3.41,581.43,406.87,SUCCESS
0018P,14,TRUE,2573,3319,0.67,5.02,569.8,344.98,SUCCESS
001aK,14,TRUE,2611,3392,0.66,3.61,630.48,406.16,SUCCESS
002GQ,14,TRUE,2564,3309,0.67,3.41,688.01,421.94,SUCCESS
003IM,14,TRUE,2646,3401,0.66,3.41,443.12,449.83,SUCCESS
002bK,15,TRUE,2581,3337,0.67,3.21,513.91,403.02,SUCCESS
003wQ,15,TRUE,2701,3480,0.67,4.82,624.03,350.37,SUCCESS
0048h,15,TRUE,2625,3390,0.66,3.11,609.07,425.24,SUCCESS
004Lu,15,TRUE,2620,3378,0.67,3.51,628.62,423.2,SUCCESS
004RF,15,TRUE,2624,3373,0.66,4.72,580.1,359.32,SUCCESS
000VW,16,TRUE,2697,3467,0.67,5.62,552.04,314.81,SUCCESS
