PieceCount,Num_Merged_Positions,Graph_Triples_Before,Pellet_Time_Sec,Pellet_Status,Hermit_Time_Sec,Hermit_Status
3,1,2421,4.42,SUCCESS,2.31,SUCCESS
3,2,3203,3.52,SUCCESS,2.64,SUCCESS
3,3,3988,3.48,SUCCESS,3.42,SUCCESS
3,4,4769,7.56,SUCCESS,4.3,SUCCESS
3,5,5549,2.65,FAILED,2.77,FAILED
4,1,2437,2.71,SUCCESS,2.35,SUCCESS
4,2,3294,4.01,SUCCESS,2.79,SUCCESS
4,3,4152,5.09,SUCCESS,3.44,SUCCESS
4,4,4945,8.61,SUCCESS,4.5,SUCCESS
4,5,5735,17.15,SUCCESS,6.02,SUCCESS
4,6,6529,10.95,SUCCESS,4.2,FAILED
4,7,7315,13.02,SUCCESS,TIMEOUT,TIMEOUT
4,8,8114,48.15,SUCCESS,TIMEOUT,TIMEOUT
4,9,8903,15.97,FAILED,TIMEOUT,TIMEOUT
5,1,2456,2.78,SUCCESS,2.37,SUCCESS
5,2,3256,4.38,SUCCESS,3.0,SUCCESS
5,3,4078,7.72,SUCCESS,3.78,SUCCESS
5,4,4889,14.26,SUCCESS,5.04,SUCCESS
5,5,5739,6.63,SUCCESS,6.9,SUCCESS
5,6,6562,8.79,SUCCESS,9.6,SUCCESS
5,7,7426,14.47,SUCCESS,12.88,SUCCESS
5,8,8294,19.28,SUCCESS,16.09,SUCCESS
5,9,9142,9.02,FAILED,20.19,SUCCESS
5,10,9996,TIMEOUT,TIMEOUT,26.74,SUCCESS
6,1,2487,2.83,SUCCESS,2.26,SUCCESS
6,2,3337,3.63,SUCCESS,2.97,SUCCESS
6,3,4192,11.26,SUCCESS,4.01,SUCCESS
6,4,5002,4.98,FAILED,5.01,SUCCESS
6,5,5870,TIMEOUT,TIMEOUT,7.26,SUCCESS
6,6,6681,TIMEOUT,TIMEOUT,10.44,SUCCESS
6,7,7559,TIMEOUT,TIMEOUT,14.3,FAILED
7,1,2479,3.31,SUCCESS,2.57,SUCCESS
7,2,3333,3.61,SUCCESS,3.2,SUCCESS
7,3,4169,3.33,FAILED,4.16,SUCCESS
7,4,5069,TIMEOUT,TIMEOUT,5.82,SUCCESS
7,5,5931,TIMEOUT,TIMEOUT,8.15,SUCCESS
7,6,6800,TIMEOUT,TIMEOUT,12.21,SUCCESS
7,7,7667,TIMEOUT,TIMEOUT,17.61,SUCCESS
7,8,8545,TIMEOUT,TIMEOUT,24.35,SUCCESS
7,9,9410,TIMEOUT,TIMEOUT,19.29,FAILED
8,1,2545,3.47,SUCCESS,2.45,SUCCESS
8,2,3453,8.56,SUCCESS,3.11,SUCCESS
8,3,4359,6.58,SUCCESS,4.17,SUCCESS
8,4,5188,9.32,SUCCESS,6.34,SUCCESS
8,5,6050,0.97,FAILED,9.49,SUCCESS
8,6,6934,TIMEOUT,TIMEOUT,14.29,SUCCESS
8,7,7806,TIMEOUT,TIMEOUT,19.65,SUCCESS
8,8,8681,TIMEOUT,TIMEOUT,27.08,SUCCESS
8,9,9539,TIMEOUT,TIMEOUT,37.73,SUCCESS
8,10,10384,TIMEOUT,TIMEOUT,53.08,SUCCESS
9,1,2524,2.82,SUCCESS,2.52,SUCCESS
9,2,3411,9.49,SUCCESS,3.26,SUCCESS
9,3,4293,20.97,SUCCESS,4.76,SUCCESS
9,4,5173,7.42,SUCCESS,7.12,SUCCESS
9,5,6067,10.49,SUCCESS,10.89,SUCCESS
9,6,7042,4.26,FAILED,16.03,SUCCESS
9,7,7958,TIMEOUT,TIMEOUT,22.55,SUCCESS
9,8,8858,TIMEOUT,TIMEOUT,32.28,SUCCESS
9,9,9749,TIMEOUT,TIMEOUT,43.33,SUCCESS
9,10,10636,TIMEOUT,TIMEOUT,59.52,SUCCESS
10,1,2559,4.08,SUCCESS,2.61,SUCCESS
10,2,3467,4.07,SUCCESS,3.31,SUCCESS
10,3,4368,6.86,SUCCESS,5.0,SUCCESS
10,4,5202,57.79,SUCCESS,7.77,SUCCESS
10,5,6136,14.08,SUCCESS,12.92,SUCCESS
10,6,7027,21.2,SUCCESS,19.71,SUCCESS
10,7,7933,3.41,FAILED,30.49,SUCCESS
10,8,8780,TIMEOUT,TIMEOUT,39.75,SUCCESS
10,9,9686,TIMEOUT,TIMEOUT,51.74,SUCCESS
10,10,10588,TIMEOUT,TIMEOUT,71.46,SUCCESS
11,1,2553,2.8,SUCCESS,3.06,FAILED
11,2,3418,8.5,SUCCESS,TIMEOUT,TIMEOUT
11,3,4360,19.08,SUCCESS,TIMEOUT,TIMEOUT
11,4,5239,3.08,FAILED,TIMEOUT,TIMEOUT
12,1,2506,2.72,SUCCESS,2.45,SUCCESS
12,2,3400,3.0,FAILED,3.32,SUCCESS
12,3,4344,TIMEOUT,TIMEOUT,5.47,SUCCESS
12,4,5228,TIMEOUT,TIMEOUT,8.52,SUCCESS
12,5,6148,TIMEOUT,TIMEOUT,13.69,SUCCESS
12,6,7073,TIMEOUT,TIMEOUT,21.43,SUCCESS
12,7,7989,TIMEOUT,TIMEOUT,30.6,SUCCESS
12,8,8948,TIMEOUT,TIMEOUT,43.65,SUCCESS
12,9,9912,TIMEOUT,TIMEOUT,2.94,FAILED
13,1,2654,3.87,SUCCESS,2.48,SUCCESS
13,2,3654,2.76,FAILED,3.86,SUCCESS
13,3,4580,TIMEOUT,TIMEOUT,3.1,FAILED
14,1,2628,3.99,SUCCESS,1.92,FAILED
14,2,3554,4.45,SUCCESS,TIMEOUT,TIMEOUT
14,3,4547,32.01,SUCCESS,TIMEOUT,TIMEOUT
14,4,5465,11.02,SUCCESS,TIMEOUT,TIMEOUT
14,5,6471,17.27,SUCCESS,TIMEOUT,TIMEOUT
14,6,7545,28.88,SUCCESS,TIMEOUT,TIMEOUT
14,7,8480,538.81,SUCCESS,TIMEOUT,TIMEOUT
14,8,9399,600,TIMEOUT,TIMEOUT,TIMEOUT
15,1,2586,2.86,SUCCESS,2.44,SUCCESS
15,2,3658,5.65,SUCCESS,3.77,SUCCESS
15,3,4658,41.18,SUCCESS,5.78,SUCCESS
15,4,5636,110.15,SUCCESS,9.23,SUCCESS
15,5,6616,19.33,SUCCESS,17.65,SUCCESS
15,6,7645,28.2,SUCCESS,26.27,SUCCESS
15,7,8604,600,TIMEOUT,42.72,SUCCESS
15,8,9635,TIMEOUT,TIMEOUT,59.93,SUCCESS
15,9,10597,TIMEOUT,TIMEOUT,17.78,FAILED
16,1,2697,3.26,SUCCESS,2.8,SUCCESS
16,2,3672,15.57,SUCCESS,4.09,SUCCESS
16,3,4674,17.66,FAILED,6.53,SUCCESS
16,4,5607,TIMEOUT,TIMEOUT,10.63,SUCCESS
16,5,6664,TIMEOUT,TIMEOUT,17.69,SUCCESS
16,6,7678,TIMEOUT,TIMEOUT,27.27,SUCCESS
16,7,8672,TIMEOUT,TIMEOUT,48.22,SUCCESS
16,8,9687,TIMEOUT,TIMEOUT,67.3,SUCCESS
16,9,10721,TIMEOUT,TIMEOUT,93.38,SUCCESS
16,10,11741,TIMEOUT,TIMEOUT,81.7,FAILED
17,1,2662,6.7,SUCCESS,2.72,SUCCESS
17,2,3680,24.94,SUCCESS,4.0,SUCCESS
17,3,4709,8.67,SUCCESS,6.78,SUCCESS
17,4,5787,16.34,SUCCESS,12.42,SUCCESS
17,5,6766,21.51,SUCCESS,20.58,SUCCESS
17,6,7810,4.45,FAILED,30.65,SUCCESS
17,7,8855,TIMEOUT,TIMEOUT,47.61,SUCCESS
17,8,9894,TIMEOUT,TIMEOUT,71.05,SUCCESS
17,9,10943,TIMEOUT,TIMEOUT,99.72,SUCCESS
17,10,11933,TIMEOUT,TIMEOUT,140.78,SUCCESS
18,1,2706,3.13,SUCCESS,2.88,SUCCESS
18,2,3760,5.32,SUCCESS,4.24,SUCCESS
18,3,4844,9.61,FAILED,7.64,SUCCESS
