Reasoner,Run_ID,Num_Positions,Graph_Triples,Time_Seconds,Status
HermiT,1,1,2640,2.92,SUCCESS
HermiT,1,2,3714,7.54,SUCCESS
HermiT,1,3,4534,16.96,SUCCESS
HermiT,1,4,5729,43.43,SUCCESS
HermiT,1,5,6937,97.04,SUCCESS
HermiT,1,6,8066,169.51,SUCCESS
HermiT,1,7,8972,338.96,SUCCESS
HermiT,1,8,9868,430.8,SUCCESS
HermiT,1,9,11021,600,TIMEOUT
HermiT,2,1,2857,3.22,SUCCESS
HermiT,2,2,3914,8.74,SUCCESS
HermiT,2,3,5075,22.68,SUCCESS
HermiT,2,4,6217,53.54,SUCCESS
HermiT,2,5,7244,113.28,SUCCESS
HermiT,2,6,8400,197.28,SUCCESS
HermiT,2,7,9366,346.18,SUCCESS
HermiT,2,8,10227,481.73,SUCCESS
HermiT,2,9,11246,600,TIMEOUT
HermiT,3,1,2559,2.76,SUCCESS
HermiT,3,2,3710,7.24,SUCCESS
HermiT,3,3,4569,16.46,SUCCESS
HermiT,3,4,5554,42.14,SUCCESS
HermiT,3,5,6500,88.79,SUCCESS
HermiT,3,6,7361,133.53,SUCCESS
HermiT,3,7,8399,283.03,SUCCESS
HermiT,3,8,9423,414.41,SUCCESS
HermiT,3,9,10578,591.2,SUCCESS
HermiT,3,10,11367,600,TIMEOUT
HermiT,4,1,2776,3.46,SUCCESS
HermiT,4,2,3882,8.56,SUCCESS
HermiT,4,3,4937,22.17,SUCCESS
HermiT,4,4,6007,53.39,SUCCESS
HermiT,4,5,7143,113.99,SUCCESS
HermiT,4,6,8252,195.99,SUCCESS
HermiT,4,7,9337,373.09,SUCCESS
HermiT,4,8,10501,531.28,SUCCESS
HermiT,4,9,11679,600,TIMEOUT
HermiT,5,1,2752,3.43,SUCCESS
HermiT,5,2,3698,7.76,SUCCESS
HermiT,5,3,4860,23.46,SUCCESS
HermiT,5,4,5988,55.41,SUCCESS
HermiT,5,5,7004,123.58,SUCCESS
HermiT,5,6,7864,163.53,SUCCESS
HermiT,5,7,9012,336.99,SUCCESS
HermiT,5,8,10184,526.33,SUCCESS
HermiT,5,9,11065,600,TIMEOUT
HermiT,6,1,2724,3.55,SUCCESS
HermiT,6,2,3831,8.53,SUCCESS
HermiT,6,3,4866,21.57,SUCCESS
HermiT,6,4,5785,43.65,SUCCESS
HermiT,6,5,6867,104.35,SUCCESS
HermiT,6,6,8008,181.62,SUCCESS
HermiT,6,7,9231,343.58,SUCCESS
HermiT,6,8,10159,531.76,SUCCESS
HermiT,6,9,11300,600,TIMEOUT
HermiT,7,1,2764,3.87,SUCCESS
HermiT,7,2,3816,9.75,SUCCESS
HermiT,7,3,4805,24.17,SUCCESS
HermiT,7,4,5722,48.2,SUCCESS
HermiT,7,5,6694,96.03,SUCCESS
HermiT,7,6,7646,150.5,SUCCESS
HermiT,7,7,8672,282.34,SUCCESS
HermiT,7,8,9846,426.2,SUCCESS
HermiT,7,9,10850,589.56,SUCCESS
HermiT,7,10,11832,600,TIMEOUT
HermiT,8,1,2676,4.5,SUCCESS
HermiT,8,2,3836,9.46,SUCCESS
HermiT,8,3,4677,21.27,SUCCESS
HermiT,8,4,5795,46.2,SUCCESS
HermiT,8,5,6802,97.98,SUCCESS
HermiT,8,6,7656,150.08,SUCCESS
HermiT,8,7,8811,290.59,SUCCESS
HermiT,8,8,10051,430.68,SUCCESS
HermiT,8,9,11099,600,TIMEOUT
HermiT,9,1,2517,3.88,SUCCESS
HermiT,9,2,3428,6.94,SUCCESS
HermiT,9,3,4260,14.88,SUCCESS
HermiT,9,4,5274,35.72,SUCCESS
HermiT,9,5,6484,89.59,SUCCESS
HermiT,9,6,7734,160.85,SUCCESS
HermiT,9,7,8749,306.03,SUCCESS
HermiT,9,8,9793,462.16,SUCCESS
HermiT,9,9,10738,600,TIMEOUT
HermiT,10,1,2638,4.16,SUCCESS
HermiT,10,2,3756,9.37,SUCCESS
HermiT,10,3,4652,20.06,SUCCESS
HermiT,10,4,5760,53.06,SUCCESS
HermiT,10,5,6648,92.9,SUCCESS
HermiT,10,6,7698,154.01,SUCCESS
HermiT,10,7,8831,327.15,SUCCESS
HermiT,10,8,9741,431.83,SUCCESS
HermiT,10,9,10697,600,TIMEOUT
HermiT,11,1,2586,4.13,SUCCESS
HermiT,11,2,3736,9.02,SUCCESS
HermiT,11,3,4869,25.89,SUCCESS
HermiT,11,4,5998,54.87,SUCCESS
HermiT,11,5,7166,117.14,SUCCESS
HermiT,11,6,8243,206.58,SUCCESS
HermiT,11,7,9439,431.16,SUCCESS
HermiT,11,8,10367,564.65,SUCCESS
HermiT,11,9,11477,600,TIMEOUT
HermiT,12,1,2760,4.59,SUCCESS
HermiT,12,2,3791,9.61,SUCCESS
HermiT,12,3,4897,26.35,SUCCESS
HermiT,12,4,5807,51.31,SUCCESS
HermiT,12,5,6930,108.01,SUCCESS
HermiT,12,6,8017,192.8,SUCCESS
HermiT,12,7,9213,351.4,SUCCESS
HermiT,12,8,10371,543.79,SUCCESS
HermiT,12,9,11401,600,TIMEOUT
HermiT,13,1,2662,4.31,SUCCESS
HermiT,13,2,3783,9.37,SUCCESS
HermiT,13,3,4759,21.8,SUCCESS
HermiT,13,4,5929,50.82,SUCCESS
HermiT,13,5,6955,104.93,SUCCESS
HermiT,13,6,7969,175.49,SUCCESS
HermiT,13,7,9031,316.72,SUCCESS
HermiT,13,8,10083,460.32,SUCCESS
HermiT,13,9,11274,600,TIMEOUT
HermiT,14,1,2829,4.33,SUCCESS
HermiT,14,2,3949,10.61,SUCCESS
HermiT,14,3,4767,22.62,SUCCESS
HermiT,14,4,5806,51.14,SUCCESS
HermiT,14,5,6670,98.6,SUCCESS
HermiT,14,6,7542,160.0,SUCCESS
HermiT,14,7,8516,314.55,SUCCESS
HermiT,14,8,9486,424.31,SUCCESS
HermiT,14,9,10642,600,TIMEOUT
HermiT,15,1,2603,3.96,SUCCESS
HermiT,15,2,3751,9.9,SUCCESS
HermiT,15,3,4846,23.07,SUCCESS
HermiT,15,4,5953,55.07,SUCCESS
HermiT,15,5,6800,105.03,SUCCESS
HermiT,15,6,7759,177.45,SUCCESS
HermiT,15,7,8715,315.82,SUCCESS
HermiT,15,8,9597,426.62,SUCCESS
HermiT,15,9,10656,600,TIMEOUT
HermiT,16,1,2569,4.42,SUCCESS
HermiT,16,2,3671,8.86,SUCCESS
HermiT,16,3,4597,18.11,SUCCESS
HermiT,16,4,5647,44.18,SUCCESS
HermiT,16,5,6723,95.41,SUCCESS
HermiT,16,6,7771,155.05,SUCCESS
HermiT,16,7,8857,310.24,SUCCESS
HermiT,16,8,9758,424.15,SUCCESS
HermiT,16,9,10797,600,TIMEOUT
HermiT,17,1,2759,5.08,SUCCESS
HermiT,17,2,3774,8.95,SUCCESS
HermiT,17,3,4912,22.82,SUCCESS
HermiT,17,4,5838,46.8,SUCCESS
HermiT,17,5,6712,97.19,SUCCESS
HermiT,17,6,7727,183.0,SUCCESS
HermiT,17,7,8802,311.38,SUCCESS
HermiT,17,8,9978,474.92,SUCCESS
HermiT,17,9,10867,600,TIMEOUT
HermiT,18,1,2747,4.91,SUCCESS
HermiT,18,2,3892,9.49,SUCCESS
HermiT,18,3,4868,21.82,SUCCESS
HermiT,18,4,6028,53.67,SUCCESS
HermiT,18,5,7030,108.09,SUCCESS
HermiT,18,6,7931,177.61,SUCCESS
HermiT,18,7,9037,307.8,SUCCESS
HermiT,18,8,10131,510.44,SUCCESS
HermiT,18,9,11201,600,TIMEOUT
HermiT,19,1,2626,4.51,SUCCESS
HermiT,19,2,3577,8.42,SUCCESS
HermiT,19,3,4705,23.65,SUCCESS
HermiT,19,4,5780,52.6,SUCCESS
